Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
-0.5120382893662743,0.10544287148085235,0.6759999999999999,0.767944870877505,-0.683,0.005,0.676,0.040000000000000036
-0.5024518300210363,0.10780744712013618,0.6739999999999999,0.7941248096574199,-0.681,0.007,0.681,0.08000000000000007
-0.48409354374128544,0.11220408587108166,0.6699999999999999,0.8453938564347533,-0.679,0.009,0.686,0.08000000000000007
-0.4750878090856791,0.11401778786693653,0.6689999999999999,0.8715737952146684,-0.677,0.011,0.691,0.08000000000000007
-0.46481907425231234,0.11488745879118967,0.6699999999999999,0.8982991493858316,-0.671,0.016,0.7,0.1200000000000001
-0.4475541689188789,0.11161894261659647,0.6759999999999999,0.9490227807719166,-0.668,0.018,0.703,0.1200000000000001
-0.43818099340340777,0.11017450391910055,0.6789999999999999,0.9746573041605833,-0.665,0.021,0.706,0.1200000000000001
-0.4350211917865586,0.110059450672302,0.6799999999999999,0.9872018581592926,-0.657,0.027,0.712,0.20000000000000018
-0.4161265955763471,0.10741398025277071,0.6859999999999999,1.0411979818928672,-0.653,0.03,0.713,0.16000000000000014
-0.40708176707029653,0.10641551752856565,0.689,1.0679233360640303,-0.649,0.033,0.715,0.16000000000000014
-0.3982263864157025,0.10475844799580897,0.691,1.0935578594526971,-0.64,0.04,0.717,0.16000000000000014
-0.3784925360617638,0.10063681781953943,0.696,1.1475539831862716,-0.634,0.044,0.717,0.2400000000000002
-0.36538353135220525,0.09871150453025251,0.699,1.1802789066611654,-0.629,0.048,0.717,0.20000000000000018
-0.35600689484057574,0.09678716366150203,0.7,1.2064588454410803,-0.617,0.055,0.717,0.2400000000000002
-0.3383512850900495,0.09362431175281732,0.701,1.2577278922184139,-0.611,0.059,0.717,0.2400000000000002
-0.3287705004516557,0.09227947913456036,0.7,1.2839078309983287,-0.603,0.063,0.717,0.3200000000000003
-0.31945035381470466,0.09021929369176723,0.699,1.3089969389957472,-0.598,0.067,0.716,0.20000000000000018
-0.3090808281462813,0.08934339330325747,0.698,1.3340860469931657,-0.583,0.074,0.715,0.3200000000000003
-0.299666562049301,0.08765295871761686,0.697,1.3591751549905842,-0.576,0.078,0.715,0.28000000000000025
-0.28039613094469873,0.08477965558875583,0.693,1.4104442017679175,-0.568,0.081,0.714,0.3200000000000003
-0.2695468713110272,0.08461532790955029,0.691,1.4366241405478324,-0.555,0.086,0.715,0.28000000000000025
-0.2583410891416893,0.08262141092451625,0.689,1.4638949101102439,-0.545,0.091,0.714,0.40000000000000036
-0.23952383015260664,0.08134183798039113,0.6839999999999999,1.5162547876700738,-0.531,0.095,0.714,0.5600000000000005
-0.22959550078656205,0.08101300792570615,0.6819999999999999,1.5424347264499887,-0.517,0.099,0.714,0.3600000000000003
-0.21899191975686788,0.08089273170180172,0.6799999999999999,1.5675238344474072,-0.507,0.101,0.714,0.40000000000000036
-0.19945740265606854,0.08024017297122749,0.6769999999999999,1.6187928812247405,-0.482,0.106,0.715,0.6000000000000005
-0.1878668023071094,0.07970027859773432,0.6759999999999999,1.643881989222159,-0.472,0.108,0.716,0.40000000000000036
-0.17861919925938666,0.07931843187254478,0.6749999999999999,1.6678802664370809,-0.467,0.108,0.716,0.19999999999999796
-0.1601789175384628,0.08007548827763483,0.6749999999999999,1.7158768208669253,-0.457,0.109,0.717,0.40000000000000036
-0.15199455487433328,0.08121337953728147,0.6749999999999999,1.7398750980818471,-0.446,0.11,0.717,0.4400000000000004
-0.14283956571915277,0.08152333892511293,0.6749999999999999,1.763873375296769,-0.436,0.111,0.718,0.40000000000000036
-0.13271807055726276,0.08200461204904991,0.6749999999999999,1.7878716525116913,-0.415,0.112,0.719,0.40000000000000036
