Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
0.038064377915324854,0.06451594122268617,0.507,2.1827523957754082,-0.179,0.062,0.537,0.40000000000000036
0.0461879753629694,0.06865009878397393,0.506,2.2078415037728267,-0.166,0.063,0.537,0.5199999999999994
0.0624468649968806,0.07496257457123501,0.505,2.255838058202671,-0.145,0.064,0.538,0.40000000000000036
0.0624468649968806,0.07496257457123501,0.505,2.255838058202671,-0.137,0.066,0.538,0.3199999999999992
0.07819571222560026,0.08189931108291199,0.504,2.3038346126325147,-0.126,0.067,0.539,0.4400000000000004
0.09340515355958884,0.0884351185318501,0.503,2.351831167062359,-0.108,0.07,0.537,0.3999999999999998
0.10182738672091443,0.0929704304762057,0.503,2.378011105842274,-0.097,0.072,0.538,0.43999999999999984
0.11007634462039115,0.09667161739786612,0.503,2.4041910446221886,-0.088,0.074,0.536,0.3600000000000003
0.11007634462039115,0.09667161739786612,0.503,2.4041910446221886,-0.078,0.075,0.536,0.3999999999999998
0.13074135081034507,0.11072395198794266,0.503,2.4827308609619334,-0.059,0.079,0.534,0.40000000000000036
0.1387064525536438,0.1156579013275906,0.503,2.5110924613068417,-0.05,0.082,0.533,0.35999999999999976
0.14544416601770546,0.12075781707630853,0.503,2.5394540616517496,-0.041,0.085,0.532,0.36000000000000004
0.15921915473553122,0.13242935964381738,0.503,2.596177262341565,-0.018,0.091,0.53,0.52
0.165489960450158,0.13666169696259653,0.503,2.620175539556487,-0.008,0.093,0.531,0.3999999999999999
0.17194960676723503,0.14166587935151348,0.503,2.6463554783364023,0.0,0.096,0.53,0.32
0.1855296738151122,0.15377599975931763,0.503,2.707442002156204,0.019,0.101,0.531,0.4
0.18611671525198098,0.15624840158528297,0.503,2.7183503099811683,0.027,0.104,0.531,0.32
0.19508334350517348,0.1643048968715573,0.503,2.7619835412810265,0.043,0.11,0.529,0.31999999999999973
0.20036696757286937,0.16885903002287733,0.503,2.788163480060941,0.051,0.113,0.529,0.32
0.2051793115395501,0.17377339708271028,0.503,2.8121617572758635,0.061,0.116,0.53,0.4000000000000001
0.21002975159251536,0.1794814607304404,0.503,2.8383416960557786,0.069,0.118,0.53,0.3200000000000003
0.21785167413233764,0.1903669985809454,0.501,2.888519912050615,0.087,0.125,0.53,0.35999999999999976
0.21785167413233764,0.1903669985809454,0.501,2.888519912050615,0.087,0.125,0.53,0.35999999999999976
0.22397364661729036,0.20222122295398098,0.501,2.9408797896104453,0.1,0.131,0.528,0.28000000000000025
0.23026759283723747,0.21602202288531733,0.5,2.9954213287352682,0.113,0.137,0.527,0.2400000000000002
0.23348338345316927,0.22210372064326306,0.5,3.021601267515183,0.12,0.14,0.527,0.2799999999999997
0.2363886694285126,0.22745398661792166,0.5,3.045599544730105,0.126,0.144,0.526,0.2400000000000002
0.23966687755365024,0.24073321442213239,0.499,3.097959422289935,0.139,0.151,0.524,0.28000000000000025
0.24094669330473695,0.2478916577469508,0.499,3.12413936106985,0.145,0.154,0.523,0.2399999999999991
0.24198667307245997,0.25405428742443087,0.499,-3.1328660073298216,0.151,0.158,0.524,0.2400000000000002
0.24378678945668353,0.2602148238458754,0.499,-3.1066860685499065,0.164,0.166,0.524,0.28000000000000025
0.2447338650279139,0.2727437620803546,0.5,-3.0565078525550695,0.169,0.17,0.524,0.20000000000000018
0.24483576171973231,0.2798623579939971,0.5,-3.030327913775155,0.175,0.175,0.523,0.2399999999999991
0.2443251662297076,0.2930134156881061,0.501,-2.9779680362153247,0.18,0.179,0.523,0.20000000000000018
0.2447143946846063,0.29903343764029444,0.502,-2.9517880974354096,0.19,0.188,0.521,0.28000000000000025
0.24386805846230533,0.30600820357276776,0.502,-2.925608158655495,0.192,0.19,0.521,0.08000000000000007
0.24278742294942482,0.3119315626292558,0.502,-2.89942821987558,0.197,0.195,0.521,0.20000000000000018
0.23914997628168502,0.3248686938469313,0.502,-2.849250003880743,0.205,0.205,0.521,0.07999999999999896
0.23739469417065692,0.33060733226931227,0.502,-2.8230700651008283,0.21,0.211,0.519,0.20000000000000018
0.23247872872297273,0.3421413480641124,0.502,-2.772891849105991,0.217,0.222,0.518,0.1200000000000001
0.2300648570688679,0.3486443393799826,0.502,-2.746711910326076,0.221,0.227,0.517,0.16000000000000014
0.22742957289917773,0.35405505219127675,0.5,-2.720531971546161,0.224,0.232,0.516,0.1200000000000001
0.21980563522848254,0.365934325456751,0.499,-2.6638087708563454,0.229,0.242,0.515,0.1200000000000001
0.2151168974987885,0.371683367086218,0.499,-2.6354471705114375,0.231,0.248,0.515,0.08000000000000007
0.211570206154534,0.3776384270362464,0.498,-2.609267231731523,0.233,0.254,0.514,0.08000000000000007
0.2068168336547491,0.38347174248162175,0.498,-2.5830872929516078,0.234,0.259,0.515,0.040000000000000036
0.19814050523392976,0.3931257860796643,0.497,-2.532909076956771,0.237,0.269,0.514,0.040000000000000036
0.19280342699700034,0.397573670133633,0.497,-2.5067291381768557,0.238,0.274,0.514,0.040000000000000036
0.18627321476760247,0.4028792935626283,0.497,-2.4805491993969406,0.239,0.28,0.514,0.040000000000000036
0.17564867862311292,0.41304383183801363,0.497,-2.428189321837111,0.239,0.29,0.513,0.0
0.16904706788354337,0.4174565726654811,0.497,-2.399827721492203,0.238,0.296,0.513,-0.040000000000000036
0.16904706788354337,0.4174565726654811,0.497,-2.399827721492203,0.237,0.302,0.513,-0.040000000000000036
0.1553182425049478,0.4266376572039635,0.498,-2.3474678439323733,0.236,0.307,0.512,-0.040000000000000036
0.14191701687550803,0.4331345022761508,0.498,-2.295107966372543,0.235,0.317,0.511,0.039999999999998925
0.13397566339028877,0.43711555509164235,0.498,-2.2689280275926285,0.233,0.322,0.511,-0.07999999999999896
0.1268801228231668,0.44091285489834486,0.499,-2.2427480888127134,0.23,0.327,0.511,-0.1200000000000001
0.11933022117558592,0.4447520295909023,0.499,-2.2154773192503026,0.227,0.332,0.511,-0.1200000000000001
0.10403391860510691,0.44994948311098315,0.499,-2.165299103255465,0.221,0.343,0.511,-0.1200000000000001
0.09537675004596655,0.45298169441868663,0.499,-2.13911916447555,0.217,0.35,0.51,-0.16000000000000014
0.07934420272538228,0.45705885512759137,0.499,-2.088940948480713,0.209,0.359,0.509,-0.16000000000000014
0.07066188351469516,0.45931175837188487,0.499,-2.0638518404832946,0.204,0.365,0.509,-0.20000000000000018
0.05229905896551029,0.46255930090902886,0.499,-2.0114919629234644,0.196,0.373,0.508,-0.1200000000000001
0.04331071499342948,0.4632050621524365,0.499,-1.9864028549260464,0.192,0.377,0.507,-0.16000000000000014
0.03352701607335151,0.46393917640614823,0.499,-1.959132085363635,0.186,0.381,0.507,-0.2400000000000002
0.02435881544814554,0.46416186363990236,0.499,-1.9340429773662162,0.176,0.388,0.506,-0.20000000000000018
0.005066057033793744,0.4652219371998734,0.499,-1.8816830998063867,0.176,0.388,0.506,-0.20000000000000018
0.005066057033793744,0.4652219371998734,0.499,-1.8816830998063867,0.163,0.396,0.506,-0.28000000000000025
-0.022408283757934203,0.466595031192703,0.498,-1.8031432834666417,0.151,0.404,0.508,-0.28000000000000025
-0.03097797625771781,0.4665096029253284,0.499,-1.7780541754692232,0.144,0.408,0.509,-0.28000000000000025
-0.04096851257719057,0.46527755023130424,0.499,-1.7518742366893083,0.137,0.411,0.51,-0.27999999999999914
-0.05100224752964987,0.46380954690139886,0.498,-1.7256942979093934,0.123,0.417,0.512,-0.28000000000000025
-0.06941503785632133,0.46108266337889564,0.497,-1.6755160819145563,0.12,0.418,0.507,-0.1200000000000001
-0.07915871906829698,0.45989090426103396,0.497,-1.6504269739171378,0.114,0.419,0.506,-0.23999999999999966
-0.08968241531496965,0.4575203371641008,0.498,-1.6231562043547265,0.107,0.422,0.506,-0.28000000000000025
-0.09983806809224445,0.455880063741445,0.498,-1.5969762655748114,0.099,0.424,0.506,-0.31999999999999973
